타임스탬프,동호회 이름,"모집 대상
(선출 가능 여부, 군미필 여부, 6인제 동호회 등 기타 정보는 따로 기입 부탁드립니다.)","운동 장소  
(지도 등록을 위해 정확한 '도로명 주소' 또는 '체육관 이름'을 입력해 주세요.)","운동 시간
(예시 : 매주 토요일 13:00~17:00)  ","회비 정보
(예시 : 월 3만원 / 게스트 1만원)","인스타그램 아이디
('@' 기호를 뺀 아이디만 입력해 주세요.)
(예시 : gvt__official )","홈페이지 또는 오픈카톡 링크
(http를 포함한 전체 주소를 입력해 주세요.)  ",이메일 주소
2025. 12. 18 오후 6:37:51,우리하모니,"성인, 대학생 (여성전용)",서울 양천구 남부순환로 380 ,매주 토요일 14:00~18:00 ,월 3만원 / 게스트 1만원,harmony__volleyball,,
2025. 12. 18 오후 6:39:23,FAV,"성인, 대학생",경기도 고양시 일산 서구 송포백송길 70-1,매주 월/화/수/목/금 19: 40~21:30,"성인 월 기준 - 주 1회 14만원, 주 2~3회 19만원",favclub.official,http://litt.ly/fav_volleyball,
2025. 12. 18 오후 10:11:24,구미 거북클럽,"성인, 대학생, 무관 (선출가능)",경북 구미시 형곡로14길 5-20,매주 화 18:30~21:30 / 토 14:00~17:30,월 2만원,volleyball_gumi,https://m.cafe.naver.com/geobukclub.cafe?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAb21jcAOw3JBleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAact0OTzvMhVFL7QPLtsO9AWmiWgTsYPFoXQoegc5zLSWZD2Xd0HgqvY9Fs8Sg_aem_zOfY0iLzVbb2vT-dMgNk2Q,
2025. 12. 18 오후 11:27:53,강서VC,"성인, 대학생",서울 강서구 등촌로39길 71,매주 수 18:00~21:00 / 토 15:00~18:00,분기 8만원(학생 5만원) / 게스트 1만원,gangseo.vc,,
2025. 12. 19 오전 1:06:11,레드팡스,성인,서울 노원구 섬밭로 181,매주 목 18:00~21:00 / 일 16:30~19:30,월 3만원 / 게스트 8천원,,https://www.daangn.com/kr/group/%EB%B0%B0%EA%B5%AC%EB%8F%99%ED%98%B8%ED%9A%8C-%EB%A0%88%EB%93%9C%ED%8C%A1%EC%8A%A4-2wq9tjryem95/ ,
2025. 12. 19 오전 3:24:23,정무배구,무관,전북 전주시 덕진구 만성북4길 10,매주 수/목 19:00~21:00,"주1회 월 5만원, 주2회 월 7만원",jeongmu_volley,,
2025. 12. 19 오전 7:27:00,안성 넘버나인,"성인, 대학생",경기 안성시 비룡로 78,매주 수요일 19:00~21:40,,anseong_no9_volleyballclub,https://www.youtube.com/@%EC%95%88%EC%84%B1%EB%84%98%EB%B2%84%EB%82%98%EC%9D%B89,
2025. 12. 19 오전 7:55:22,하이발리 ,성인,경기 파주시 다율로30,매주 수요일 19:00~21:00,월 4만원 / 게스트 1만원,high.volley,,
2025. 12. 20 오전 11:11:15,임팩트,"성인, 대학생, 청소년",경기 파주시 월롱면 휴암로 434,매주 목요일 19:00~22:00,월 2만원 / 게스트 5천원,paju_impact,http://kko.to/7v33m3qZj,
2025. 12. 20 오전 11:11:15,임팩트,"성인, 대학생, 청소년",경기 파주시 해솔로 60,매주 토요일 13:00~17:00,월 2만원 / 게스트 5천원,paju_impact,http://kko.to/7v33m3qZj,
2025. 12. 20 오후 8:38:25,안성MVP,성인,경기 안성시 공도읍 기업단지로 57,매주 화/목 19:00~21:30,월 3만원,mvp_official_2014,https://open.kakao.com/o/s8T9ZYWe,
2025. 12. 22 오후 8:32:37,대구 두류배구회,"성인, 대학생, 청소년, 무관",대구 달서구 서당로 30,매주 일요일 09:00~13:00,"회비 남:월 2만원, 여:월 1만원 (가입비 3만원)",,https://open.kakao.com/o/sNOhf3Ah,
2025. 12. 22 오후 9:16:53,DGZ,성인,서울 동작구 장승배기로10가길 35,매주 일요일 9:30~14:20 (남녀 2시간씩),월 4만원 / 게스트 1만원 (현재 무료),dgz_volleyball_club,,
2025. 12. 22 오후 10:30:30,여수에이스,성인,전남 여수시 웅천북4로 9,매주 화/금 18:30~21:40,월 2만원 / 게스트 1만원,yeosu_ace_volleyball,,
2025. 12. 23 오전 11:31:51,V.O.L,"성인, 대학생",서울 동작구 장승배기로10가길 35,매주 수 18:30~21:30 / 토 12:30~18:00,월 4만원 / 게스트 1만원,v.o.l_volleyball,,
2025. 12. 23 오후 2:08:34,레이더스,성인,경기 안성시 비룡로 78,매주 화/금 19:00~21:30,"30세 미만 월 1만원, 30세 이상 월 2만원 / 게스트비 없음",raiders_volleyball_team,,
2025. 12. 23 오후 2:17:46,경주 더케이,"성인, 대학생",경북 경주시 광중2길 28,매주 화/목 18:00,월 3.5만원 (연납 3만원) / 1회체험비 무료,thek_vbc,pf.kakao.com/_xcTaxmn,
2025. 12. 23 오후 3:01:09,원주 스마일 배구클럽,무관,강원 원주시 남원로 551,매주 화 18:00~22:00 / 토 13:00~16:00,"월 성인 2.5만원, 대학생1.5만원 / 게스트비 5천원",smile.volleyball.club_,https://open.kakao.com/o/gTs0Mpse,
2025. 12. 23 오후 11:27:28,우사모 SWVC,"성인, 대학생",서울 도봉구 우이천로 432,매주 일요일 13:00~18:00,월 4만원(학생 및 무직은 3만원) / 게스트 1만원,swvc_volley,,
2025. 12. 24 오전 3:06:21,NWN,"성인, 대학생",서울 노원구 한글비석로 566,매주 수 18:30-21:30 / 토 15:00-19:00,월 3만원 / 게스트 1만원,nowon_no.1_volleyball,https://m.cafe.daum.net/nowon-no.1/_rec?utm_source=ig&utm_medium=social&utm_content=link_in_bio,
2025. 12. 24 오전 4:19:37,어나더레벨,무관,세종특별자치시 다정남로 91,매주 수요일 19:00 ~ 21:30,신규 첫달 6만 / 월 3만 / 게스트1회무료(2회 1만원),khp4949,https://open.kakao.com/o/g3dvQE4g,
2025. 12. 24 오전 11:39:16,시흥 수요배구회 픽업게임,"성인, 대학생",경기 시흥시 장곡로54번길 14,매주 수요일 17:50~20:50,없음,volleyball_pickup_siheung,https://open.kakao.com/o/s2KVlj0h,
2025. 12. 28 오후 2:40:22,군포배구클럽,"성인, 대학생",경기 군포시 산본로 267,매주 일요일 10:00~16:00,월 2.5만원 / 게스트 1만원,gunpo_volleyball,https://open.kakao.com/o/g1qV2i3h,cherry050678@gmail.com
